IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM QMIN Q10 Q20 Q30 Q40 Q50 Q60 Q70 Q80 Q90 QMAX
11244 -84.222084 30.455416 19125 -9375560.000000 3390281.250000 1967 11 6.120000 6.430000 6.670000 7.275000 7.790000 8.920000 10.750000 13.300000 17.250000 25.299999 84.099998
29411 -97.557083 48.990417 12794 -10860005.000000 5453588.500000 1967 11 0.311000 0.311000 0.340000 0.340000 0.354000 0.368000 0.368000 0.368000 0.368000 0.396000 0.453000
35849 -70.147087 -33.977917 26294 -7808738.000000 -3782404.500000 1967 11 0.023000 0.023000 0.024000 0.025000 0.025000 0.025000 0.030000 0.035000 0.055000 0.099000 0.150000
5470 47.307083 41.612083 34313 5266200.500000 4632236.000000 1967 11 0.623000 0.623000 0.623000 0.623000 0.623000 0.623000 0.623000 0.623000 0.623000 0.623000 0.623000
7398 147.708755 -36.756248 39157 16442863.000000 -4091686.750000 1967 11 0.011000 0.011000 0.013000 0.013000 0.013000 0.014000 0.014000 0.014000 0.014000 0.014000 0.014000
18619 -97.107918 34.242916 17440 -10810004.000000 3811904.000000 1967 12 141.584000 141.584000 141.584000 147.246994 147.246994 147.246994 147.246994 147.246994 147.246994 152.910995 152.910995
29009 -105.852081 51.845417 4932 -11783400.000000 5771405.500000 1967 12 45.306999 48.931000 63.514999 78.041000 92.991997 98.825996 108.113998 119.892998 145.916000 204.391006 322.812012
13028 -87.942917 38.131248 15342 -9789761.000000 4244751.000000 1968 1 119.000000 132.800003 134.000000 136.800003 149.000000 149.000000 150.100006 152.399994 159.600006 166.199997 172.000000
7392 141.458755 -37.981251 39876 15747117.000000 -4228053.500000 1968 3 0.002000 0.002000 0.002000 0.002000 0.002000 0.003000 0.003000 0.003000 0.003000 0.003000 0.004000
38249 145.003754 -37.799583 39763 16141744.000000 -4207830.500000 1968 4 36.799999 38.299999 38.650002 39.349998 41.400002 49.200001 54.099998 58.599998 61.700001 70.949997 78.699997
14351 -76.169586 43.077915 24560 -8479160.000000 4795411.500000 1968 6 114.940002 119.300003 125.205002 131.205002 138.070007 146.619995 156.145004 165.875000 172.464996 174.964996 177.470001
21180 -112.417084 34.612915 10604 -12514213.000000 3853092.000000 1968 6 0.850000 0.870000 0.945000 1.050000 1.120000 1.420000 1.635000 2.155000 2.415000 2.995000 6.620000
37180 152.762085 -26.935417 36896 17005398.000000 -2998437.000000 1968 6 0.396000 0.481000 0.538000 0.566000 0.595000 0.637000 0.651000 0.750000 1.048000 2.435000 5.663000
962 -85.898750 38.982918 14858 -9562205.000000 4339558.500000 1968 6 0.238000 0.311000 0.439000 0.580000 0.793000 0.920000 0.991000 1.147000 1.727000 2.577000 4.248000
2023 -112.668747 50.132915 5587 -12542228.000000 5580770.500000 1968 7 0.006000 0.007000 0.009000 0.010000 0.012000 0.012000 0.014000 0.014000 0.017000 0.020000 0.025000
30208 -124.762085 51.374584 1372 -13888452.000000 5718992.500000 1968 7 0.031000 0.034000 0.037000 0.039000 0.042000 0.048000 0.054000 0.057000 0.057000 0.062000 0.062000
40754 140.351257 -37.673752 39660 15623830.000000 -4193822.750000 1968 7 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.001000 0.002000 0.005000 0.010000
19918 -105.777916 40.051250 8371 -11775144.000000 4458485.000000 1968 8 0.564000 0.564000 0.622000 0.674000 0.707000 0.756000 0.757000 0.799000 0.799000 0.801000 0.838000
29006 -106.348747 51.837917 4933 -11838688.000000 5770570.500000 1968 8 0.765000 0.765000 0.793000 0.793000 0.818000 0.850000 0.850000 1.303000 3.661000 4.197000 5.097000
2085 -109.104584 49.899582 5731 -12145467.000000 5554796.000000 1968 10 3.030000 3.217000 3.344000 3.398000 3.452000 3.540000 3.540000 3.602000 3.690000 3.772000 3.851000
3552 12.317917 58.204582 31308 1371224.250000 6479304.500000 1968 10 1.290000 1.370000 1.494000 1.623000 1.947000 2.088000 2.352000 2.752000 3.499000 4.700000 8.566000
23374 -122.777084 41.304585 2773 -13667483.000000 4598005.500000 1968 12 506.000000 541.799988 568.099976 605.599976 621.400024 640.000000 642.799988 655.000000 658.599976 662.000000 677.000000
